,,,,,,,Electron Removal Energies (Ionization Potentials) of Atoms and Atomic Ions (eV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atomic #,Element,Symbol,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
,,,,,,,Chemical Potentials of Atoms and Atomic Ions (eV) from the Parr-Pearson-Mulliken formula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atomic #,Element,Symbol,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,,,,,
1,Hydrogen,H,-2.28,-2.46,-7.18,-56.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Helium,He,-,0.38,-12.29,-39.50,-90.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Lithium,Li,1.72,-0.69,-3.00,-40.52,-99.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Beryllium,Be,4.36,1.70,-4.66,-13.77,-86.05,-185.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Boron,B,5.62,2.08,-4.29,-16.73,-31.54,-148.65,-299.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Carbon,C,8.41,2.08,-6.26,-17.82,-36.14,-56.19,-228.29,-441.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Nitrogen,N,9.95,3.40,-7.27,-22.07,-38.53,-62.46,-87.68,-324.98,-609.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Oxygen,O,3.87,2.79,-7.54,-24.37,-45.03,-66.17,-95.66,-126.01,-438.70,-805.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fluorine,F,3.70,-1.91,-10.41,-26.20,-48.84,-74.92,-100.69,-135.70,-171.18,-569.55,-1028.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Neon,Ne,2.77,1.44,-10.78,-31.26,-52.21,-80.29,-111.67,-142.07,-182.60,-223.19,-717.46,-1279.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sodium,Na,4.51,0.41,-2.84,-26.21,-59.45,-85.27,-118.66,-155.29,-190.34,-236.38,-282.06,-882.49,-1556.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Magnesium,Mg,5.58,1.88,-3.82,-11.34,-47.59,-94.70,-125.27,-164.02,-205.89,-245.49,-297.01,-347.78,-1064.65,-1862.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Aluminum,Al,6.44,1.69,-3.21,-12.41,-23.64,-74.22,-136.91,-172.16,-216.13,-263.21,-307.40,-364.44,-420.38,-1263.99,-2195.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Silicon,Si,7.97,1.59,-4.77,-12.25,-24.92,-39.32,-105.95,-186.02,-225.89,-275.02,-327.33,-376.25,-438.87,-499.89,-1480.53,-2555.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Phosphorus,P,8.44,2.01,-5.62,-15.13,-24.99,-40.82,-58.23,-142.72,-242.00,-286.59,-340.87,-398.27,-451.93,-520.13,-586.27,-1714.33,-2943.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Sulfur,S,3.59,1.28,-6.22,-16.85,-29.06,-41.01,-59.91,-80.32,-184.50,-304.85,-354.15,-413.53,-476.15,-534.62,-608.32,-679.61,-1965.40,-3358.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Chlorine,Cl,2.51,-1.82,-8.29,-18.39,-31.71,-46.54,-60.63,-82.42,-105.61,-231.24,-374.17,-427.85,-492.46,-560.64,-624.35,-703.24,-779.58,-2233.96,-3802.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Argon,Ar,-0.11,-0.65,-7.88,-21.69,-34.18,-50.28,-67.42,-83.01,-107.67,-133.89,-282.96,-450.57,-508.83,-578.61,-652.18,-720.92,-805.26,-886.40,-2519.46,-4273.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Potassium,K,0.49,-1.47,-2.42,-17.99,-38.72,-53.36,-71.79,-91.03,-108.48,-136.22,-165.35,-339.81,-534.25,-597.05,-672.00,-750.60,-823.85,-914.55,-1000.70,-2822.10,-4772.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Calcium,Ca,0.39,-2.48,-3.07,-8.99,-31.39,-59.09,-75.89,-96.64,-117.99,-137.22,-167.89,-199.91,-401.59,-624.55,-691.90,-772.10,-856.05,-934.25,-1030.50,-1122.40,-3143.30,-5299.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Scandium,Sc,-,0.81,-3.38,-9.68,-18.78,-49.12,-82.57,-101.17,-124.34,-148.05,-169.07,-202.61,-237.49,-468.58,-722.03,-793.75,-879.15,-968.25,-1051.50,-1153.50,-1250.49,-3481.39,-5854.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Titanium,Ti,-0.39,-1.12,-3.45,-10.20,-20.53,-35.38,-71.28,-109.42,-130.17,-155.60,-181.25,-204.01,-240.50,-278.29,-539.67,-825.47,-902.50,-992.95,-1087.50,-1176.00,-1283.50,-1385.70,-3837.20,-6437.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Vanadium,V,-,-1.08,-3.64,-10.68,-21.96,-38.01,-56.00,-96.71,-139.37,-162.00,-189.60,-218.15,-243.10,-281.90,-322.19,-616.14,-936.00,-1018.00,-1114.00,-1214.00,-1307.50,-1420.50,-1527.80,-4210.45,-7048.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Chromium,Cr,-1.64,-2.30,-3.72,-11.63,-23.72,-40.06,-59.31,-80.05,-125.41,-172.44,-197.00,-226.85,-257.60,-284.40,-326.40,-369.48,-697.38,-1053.80,-1141.00,-1242.00,-1347.50,-1446.00,-1565.00,-1677.70,-4601.55,-7688.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Manganese,Mn,-0.24,-2.53,-3.72,-11.54,-24.65,-42.43,-61.80,-84.00,-107.40,-156.85,-208.15,-235.05,-267.15,-300.20,-329.00,-373.30,-419.08,-784.93,-1179.35,-1270.50,-1377.00,-1488.00,-1591.50,-1716.00,-1833.95,-5010.25,-8356.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Iron,Fe,2.40,-4.00,-4.03,-12.05,-23.42,-42.73,-64.90,-87.05,-112.04,-138.02,-192.33,-247.85,-276.15,-310.50,-345.90,-376.60,-424.60,-473.13,-877.63,-1312.00,-1407.00,-1519.00,-1635.50,-1744.00,-1874.50,-1986.50,-5425.50,-9052.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Cobalt,Co,6.73,-0.72,-4.27,-12.48,-25.29,-42.40,-65.40,-90.75,-115.45,-143.35,-171.97,-230.77,-290.20,-320.50,-357.50,-395.00,-427.50,-477.98,-529.27,-971.89,-1450.90,-1553.80,-1669.00,-1790.50,-1904.00,-2040.50,-2169.00,-5881.55,-9778.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Nickel,Ni,4.80,1.68,-4.40,-12.90,-26.68,-45.05,-65.48,-92.03,-120.50,-147.50,-177.50,-208.80,-272.80,-336.50,-368.00,-407.00,-447.00,-481.50,-535.04,-589.07,-1074.03,-1594.50,-1702.00,-1825.00,-1952.50,-2071.00,-2213.00,-2347.10,-6344.00,-10532.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Copper,Cu,6.88,0.18,-4.48,-14.01,-28.57,-47.11,-68.59,-91.40,-121.00,-152.50,-182.50,-215.50,-248.65,-317.15,-385.00,-418.00,-459.50,-502.00,-538.50,-595.00,-651.79,-1183.79,-1750.50,-1860.00,-1988.00,-2121.00,-2245.00,-2393.00,-2532.75,-6824.94,-11315.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Zinc,Zn,6.88,2.65,-4.70,-13.68,-28.84,-49.56,-71.00,-95.30,-121.00,-154.00,-188.50,-220.50,-256.00,-292.40,-365.25,-436.85,-472.00,-516.00,-560.50,-599.00,-658.50,-718.00,-1297.00,-1908.50,-2023.00,-2149.50,-2286.00,-2424.75,-2580.70,-2725.95,-7323.47,-12126.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Gallium,Ga,8.03,2.07,-3.21,-13.26,-25.61,-47.36,-75.01,-99.36,-126.75,-155.40,-190.50,-227.50,-262.00,-299.50,-337.50,-413.60,-490.01,-528.57,-574.06,-619.90,-658.50,-721.35,-786.50,-1408.65,-2069.50,-2193.50,-2324.50,-2467.45,-2613.45,-2775.50,-2926.21,-7840.49,-12968.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Germanium,Ge,8.76,0.97,-4.57,-11.92,-25.08,-39.97,-69.61,-104.70,-130.40,-160.65,-194.45,-232.30,-269.05,-306.00,-346.50,-387.00,-467.45,-547.60,-588.18,-635.93,-686.40,-727.00,-790.55,-858.77,-1530.27,-2242.05,-2371.50,-2507.00,-2656.10,-2809.55,-2977.95,-3134.15,-8375.86,-13838.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Arsenic,As,9.18,1.87,-5.30,-14.19,-23.47,-39.24,-56.38,-95.12,-137.30,-163.50,-196.50,-230.00,-271.50,-314.50,-354.00,-396.50,-439.00,-523.80,-608.21,-650.86,-700.90,-751.45,-794.00,-862.85,-934.25,-1656.90,-2421.50,-2556.00,-2696.00,-2852.00,-3013.05,-3187.55,-3349.32,-8929.66,-14738.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Selenium,Se,3.68,0.70,-5.88,-15.47,-26.01,-36.88,-55.62,-75.00,-118.55,-169.70,-201.50,-237.00,-273.00,-316.95,-362.95,-404.50,-449.50,-495.00,-583.75,-671.94,-716.59,-768.90,-821.90,-866.40,-938.30,-1012.98,-1788.53,-2607.35,-2747.00,-2892.00,-3055.00,-3223.90,-3404.40,-3571.76,-9502.01,-15667.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Bromine,Br,4.26,-0.88,-7.59,-16.70,-28.80,-41.65,-53.50,-74.15,-95.80,-147.90,-208.40,-242.50,-281.00,-319.50,-365.50,-414.50,-458.50,-505.50,-553.50,-646.65,-738.65,-785.40,-839.90,-895.40,-941.90,-1016.80,-1094.88,-1925.08,-2800.50,-2945.00,-3094.50,-3265.00,-3442.05,-3629.05,-3801.99,-10093.00,-16627.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Krypton,Kr,2.41,0.47,-7.00,-19.18,-30.65,-44.73,-58.60,-71.60,-94.75,-118.40,-178.33,-249.53,-288.10,-329.00,-370.50,-419.00,-469.50,-516.50,-566.50,-616.50,-713.50,-809.50,-858.50,-910.50,-967.50,-1024.50,-1101.00,-1178.15,-2066.65,-2999.00,-3148.50,-3304.00,-3482.50,-3668.00,-3861.50,-4040.04,-10702.75,-17616.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Rubidium,Rb,0.43,-0.37,-2.33,-15.73,-33.64,-46.30,-61.80,-77.70,-91.80,-117.60,-143.00,-213.55,-295.10,-334.55,-378.00,-421.50,-472.50,-526.00,-575.50,-627.50,-680.00,-781.50,-881.15,-932.10,-991.45,-1052.00,-1102.50,-1183.75,-1268.53,-2213.93,-3207.15,-3361.50,-3521.00,-3707.50,-3901.50,-4101.00,-4285.43,-11331.37,-18635.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Strontium,Sr,0.56,-2.34,-2.88,-8.36,-26.96,-49.95,-64.30,-81.20,-98.40,-114.15,-142.15,-169.50,-250.55,-343.05,-385.00,-431.00,-476.50,-530.50,-587.00,-638.50,-693.50,-748.00,-853.00,-957.05,-1010.05,-1071.50,-1135.00,-1188.00,-1272.20,-1360.30,-2365.95,-3420.85,-3580.50,-3747.00,-3941.50,-4142.50,-4348.50,-4538.70,-11978.99,-19685.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Yttrium,Y,2.95,-1.46,-3.27,-9.22,-16.37,-40.56,-68.80,-85.00,-104.50,-122.50,-137.60,-168.60,-198.50,-290.00,-394.00,-438.50,-487.50,-535.50,-591.50,-650.50,-705.00,-761.50,-818.50,-928.50,-1035.95,-1091.05,-1155.10,-1221.50,-1276.50,-1363.80,-1455.36,-2523.01,-3641.45,-3806.00,-3976.00,-4179.50,-4391.50,-4604.00,-4799.87,-12645.72,-20765.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Zirconium,Zr,1.35,0.69,-3.53,-9.87,-18.05,-28.67,-57.34,-88.31,-104.14,-122.85,-143.35,-162.51,-193.46,-225.58,-331.13,-448.00,-495.00,-546.50,-597.50,-656.00,-717.50,-774.00,-833.00,-892.50,-1007.00,-1118.35,-1175.05,-1241.20,-1310.50,-1368.00,-1458.55,-1553.74,-2685.19,-3869.00,-4038.50,-4213.50,-4426.50,-4648.50,-4867.50,-5068.97,-13331.70,-21876.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Niobium,Nb,3.14,-0.76,-3.83,-10.38,-19.52,-31.67,-44.43,-76.30,-113.53,-130.50,-147.60,-169.60,-190.14,-223.19,-257.35,-375.55,-506.25,-555.50,-608.50,-662.00,-723.00,-787.00,-846.50,-908.50,-970.00,-1088.00,-1203.30,-1262.15,-1330.85,-1403.50,-1469.50,-1562.95,-1655.43,-2852.53,-4103.55,-4278.00,-4454.50,-4677.50,-4913.00,-5138.00,-5345.53,-14037.06,-23018.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Molybdenum,Mo,3.98,-0.56,-3.92,-11.63,-21.65,-36.77,-50.45,-61.66,-97.25,-134.63,-153.86,-175.26,-197.85,-219.79,-254.69,-290.85,-423.30,-557.00,-603.00,-669.00,-734.50,-800.00,-867.50,-935.00,-994.00,-1051.00,-1172.50,-1293.00,-1355.00,-1418.00,-1492.00,-1568.00,-1665.55,-1760.52,-3024.97,-4344.50,-4524.00,-4709.00,-4942.00,-5185.50,-5417.50,-5630.60,-14761.92,-24191.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Technetium,Tc,6.70,-1.42,-3.91,-11.27,-22.40,-35.27,-49.00,-64.50,-80.00,-119.00,-159.50,-179.45,-201.95,-226.50,-250.54,-286.54,-324.78,-471.28,-629.50,-684.00,-743.00,-801.00,-866.50,-936.00,-1000.00,-1067.00,-1134.00,-1260.00,-1382.80,-1445.55,-1519.25,-1598.50,-1663.50,-1763.50,-1869.14,-3202.64,-4593.00,-4777.50,-4967.00,-5210.50,-5465.50,-5704.00,-5923.20,-15506.46,-25395.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Ruthenium,Ru,15.66,0.17,-4.22,-12.06,-22.62,-36.74,-52.00,-67.50,-84.50,-101.50,-144.20,-188.20,-208.95,-232.45,-258.00,-283.45,-321.95,-362.13,-523.13,-696.50,-753.50,-814.50,-875.00,-943.00,-1014.50,-1081.50,-1151.00,-1220.00,-1350.00,-1476.85,-1541.85,-1618.00,-1701.00,-1768.50,-1871.50,-1981.02,-3385.52,-4848.50,-5037.50,-5233.00,-5488.50,-5754.50,-5999.50,-6224.36,-16270.81,-26631.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Rhodium,Rh,7.30,3.11,-4.30,-12.77,-24.57,-36.53,-52.50,-71.50,-88.50,-106.05,-125.05,-171.26,-217.76,-240.05,-264.55,-291.50,-318.79,-360.29,-402.50,-577.50,-766.50,-825.50,-889.00,-952.50,-1022.50,-1096.00,-1166.50,-1238.00,-1309.00,-1444.00,-1574.45,-1641.25,-1720.30,-1807.00,-1877.00,-1983.00,-2096.11,-3573.61,-5110.50,-5304.50,-5503.00,-5770.00,-6050.50,-6302.50,-6533.63,-17055.12,-27899.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Palladium,Pd,5.75,1.75,-4.44,-13.88,-26.18,-39.47,-53.50,-72.55,-92.55,-110.50,-130.50,-150.50,-199.29,-249.29,-273.00,-298.50,-326.50,-355.55,-398.05,-442.50,-634.00,-839.50,-901.00,-966.50,-1032.50,-1105.00,-1181.50,-1254.00,-1328.00,-1402.00,-1541.00,-1675.10,-1743.75,-1825.15,-1915.50,-1989.00,-2098.50,-2214.93,-3766.43,-5379.50,-5579.00,-5781.50,-6061.00,-6355.50,-6614.00,-6851.05,-17859.56,-29199.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Silver,Ag,7.54,0.43,-4.44,-14.53,-28.15,-41.92,-57.00,-73.50,-94.00,-115.50,-135.00,-156.00,-177.50,-229.73,-282.73,-307.50,-334.00,-364.00,-394.72,-438.72,-484.94,-692.94,-915.50,-979.50,-1047.50,-1115.50,-1190.00,-1269.50,-1345.00,-1421.00,-1497.50,-1641.00,-1778.75,-1849.25,-1933.50,-2028.00,-2104.00,-2216.50,-2336.99,-3964.99,-5655.50,-5859.50,-6068.00,-6360.50,-6667.50,-6933.00,-7176.65,-18684.31,-30531.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Cadmium,Cd,8.34,2.44,-4.50,-12.95,-27.19,-44.24,-59.45,-77.45,-96.00,-117.55,-140.05,-161.50,-184.00,-206.50,-261.50,-317.00,-343.50,-371.50,-403.00,-436.78,-482.78,-529.60,-754.60,-994.50,-1060.50,-1131.00,-1202.00,-1278.50,-1360.00,-1438.50,-1517.50,-1596.50,-1743.50,-1884.95,-1957.90,-2044.45,-2143.00,-2222.50,-2338.50,-2462.81,-4168.81,-5939.00,-6148.00,-6358.50,-6665.00,-6989.50,-7261.50,-7510.97,-19529.50,-31896.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Indium,In,10.25,0.65,-3.09,-12.33,-23.45,-41.02,-61.65,-79.65,-99.50,-119.55,-143.05,-167.00,-189.50,-213.50,-237.50,-295.00,-354.50,-382.00,-410.50,-443.50,-479.56,-528.56,-576.69,-818.19,-1076.00,-1145.00,-1218.00,-1291.50,-1370.50,-1454.50,-1535.50,-1617.00,-1698.50,-1849.50,-1994.75,-2069.75,-2159.00,-2262.00,-2345.00,-2464.00,-2591.89,-4377.39,-6228.50,-6442.50,-6662.00,-6983.00,-7319.00,-7598.00,-7853.57,-20395.36,-33293.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Tin,Sn,9.03,1.69,-4.23,-10.99,-22.57,-35.62,-56.51,-83.14,-103.45,-123.95,-145.50,-170.00,-196.00,-220.00,-245.00,-270.00,-330.50,-393.00,-422.00,-451.50,-486.00,-521.50,-572.50,-625.18,-884.68,-1161.00,-1232.00,-1308.00,-1384.00,-1464.50,-1552.00,-1636.00,-1719.50,-1803.50,-1959.00,-2108.05,-2184.55,-2276.50,-2384.50,-2471.00,-2593.00,-2724.75,-4591.75,-6526.00,-6745.00,-6969.50,-7305.50,-7660.50,-7946.50,-8204.98,-21282.05,-34724.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Antimony,Sb,8.35,2.01,-4.82,-12.62,-20.97,-34.75,-50.10,-82.00,-112.50,-128.00,-150.50,-173.50,-199.50,-226.00,-251.50,-278.50,-304.50,-368.50,-433.50,-463.00,-494.50,-531.00,-568.00,-620.50,-675.13,-953.63,-1249.50,-1322.50,-1400.50,-1479.50,-1562.00,-1652.00,-1739.50,-1825.00,-1911.50,-2072.00,-2228.00,-2307.50,-2388.50,-2497.50,-2610.50,-2734.50,-2857.50,-4807.00,-6821.50,-7048.00,-7278.50,-7638.50,-8013.50,-8297.50,-8562.24,-22189.76,-36189.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Tellurium,Te,6.69,0.95,-5.49,-13.80,-23.28,-32.69,-48.08,-64.73,-103.85,-140.00,-155.00,-179.05,-203.05,-230.00,-258.50,-285.50,-313.50,-341.00,-407.50,-476.00,-506.50,-538.50,-577.00,-616.00,-671.00,-727.56,-1025.06,-1340.50,-1416.00,-1496.50,-1578.00,-1662.50,-1755.00,-1846.00,-1934.00,-2022.50,-2187.50,-2347.50,-2429.00,-2512.00,-2626.00,-2744.00,-2871.00,-2997.50,-5031.50,-7132.50,-7364.00,-7599.50,-7977.00,-8369.50,-8660.00,-8930.92,-23118.68,-37687.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Iodine,I,8.35,-1.62,-6.75,-14.79,-26.07,-36.68,-45.94,-62.94,-80.99,-119.21,-160.91,-184.00,-208.95,-233.95,-263.00,-293.00,-321.00,-350.00,-379.00,-449.00,-520.00,-552.00,-585.00,-625.00,-666.00,-722.50,-781.38,-1098.88,-1434.50,-1512.50,-1596.00,-1679.50,-1766.00,-1861.50,-1955.00,-2046.00,-2137.00,-2306.00,-2470.50,-2554.00,-2639.00,-2758.00,-2883.00,-3013.00,-3140.75,-5261.25,-7468.50,-7700.00,-7922.00,-8322.50,-8734.00,-9031.50,-9308.55,-24069.05,-39219.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
