,,,,,,,Electron Removal Energies (Ionization Potentials) of Atoms and Atomic Ions (eV),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Charge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atomic #,Element,Symbol,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103
26,Iron,Fe,,0.1510000,7.9024,16.1877,30.652,54.8,75,99.1,124.98,151.06,233.6,262.1,290.2,330.8,361,392.2,457,489.256,1266,1358,1456,1582,1689,1799,1950,2023,8828,9277.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Cobalt,Co,,0.6633000,7.88101,17.084,33.5,51.3,79.5,102,128.9,157.8,186.13,275.4,305,336,379,411,444,511.96,546.58,1397.2,1504.6,1603,1735,1846,1962,2119,2219,9544.1,10012.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Nickel,Ni,,1.1571600,7.6398,18.16884,35.19,54.9,76.06,108,133,162,193,224.6,321,352,384,430,464,499,571.08,607.06,1541,1648,1756,1894,2011,2131,2295,2399.2,10288.8,10775.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Copper,Cu,,1.2357800,7.72638,20.2924,36.841,57.38,79.8,103,139,166,199,232,265.3,369,401,435,484,520,557,633,670.588,1697,1804,1916,2060,2182,2308,2478,2587.5,11062.38,11567.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Zinc,Zn,,0.0000000,9.394199,17.96439,39.723,59.4,82.6,108,134,174,203,238,274,310.8,419.7,454,490,542,579,619,698,738,1856,1961,2085,2214,2358,2491.5,2669.9,2781.996,11864.9394,12388.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Gallium,Ga,,0.4300000,5.999301,20.51514,30.71,64,86.01,112.7,140.8,170,211,244,280,319,356,471.2,508.82,548.31,599.8,640,677,765.7,807.308,2010,2129,2258,2391,2543.9,2683,2868,2984.426,12696.5569,13239.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Germanium,Ge,,1.2327120,7.89943,15.93461,34.2241,45.7131,93.5,115.9,144.9,176.4,212.5,252.1,286,326,367,407,527.9,567.29,609.06,662.8,710,744,837.1,880.444,2180.1,2304,2439,2575,2737.2,2881.9,3074,3194.293,13557.4202,14119.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Arsenic,As,,0.8048000,9.7886,18.5892,28.351,50.13,62.63,127.6,147,180,213,247,296,333,375,418,460,587.6,628.82,672.9,728.9,774,814,911.7,956.791,2357,2486,2626,2766,2938,3088.1,3287,3411.643,14447.6778,15028.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Selenium,Se,,2.0206046,9.75239,21.19,30.8204,42.945,68.3,81.7,155.4,184,219,255,291,342.9,383,426,473,517,650.5,693.38,739.8,798,845.8,887,989.6,1036.362,2540.7,2674,2820,2964,3146,3301.8,3507,3636.526,15367.4907,15968.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Bromine,Br,,3.3635900,11.8138,21.591,36,47.3,59.7,88.6,103,192.8,224,261,301,338,393,436,481,530,577,716.3,760.99,809.8,870,920.8,963,1070.6,1119.169,2731,2870,3020,3169,3361,3523.1,3735,3868.986,16317.01,16937.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
